Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"CH4 emissions, latest year",% change since 1990,"Emissions, pc last year"
4.0,Afghanistan,,,,,,,,,,,,,,,,10163.18,,,,,,,,13916.0,,,,,,2013,13916.0,,0.431
8.0,Albania,1143.87,1183.56,1161.72,1256.43,1309.77,1313.34,1573.32,1602.93,1617.21,1747.62,2155.55,2115.88,2072.43,2097.86,2135.68,2062.83,2121.02,2038.51,1927.65,1984.17,,,,,,,,,,2009,1984.17,73.46,0.667
12.0,Algeria,,,,,18753.0,,,,,,32922.13,,,,,,,,,,,,,,,,,,,2000,32922.13,,1.061
24.0,Angola,,,,,,,,,,,15931.23,,,,,19932.36,,,,,,,,,,,,,,2005,19932.36,,1.026
28.0,Antigua and Barbuda,98.91,,,,,,,,,,142.17,,,,,,,,,,,,,,,,,,,2000,142.17,43.74,1.87
32.0,Argentina,76790.2,,,,82725.07,,,82099.27,,,84849.65,,,,,,,,,,75074.92,,77139.66,,,,,,,2012,77139.66,0.46,1.847
51.0,Armenia,3169.3,,,,,,,,,,1845.52,,,,,,2164.76,,,,2261.11,,,,,,,,,2010,2261.11,-28.66,0.786
36.0,Australia,4975.33,4972.35,4949.66,4804.72,4673.4,4606.33,4614.23,4727.96,4686.15,4520.94,4667.97,4611.97,4540.3,4322.55,4408.02,4476.36,4453.77,4442.61,4374.14,4335.54,4250.36,4331.16,4316.28,4288.74,4202.84,4214.75,4234.96,4326.83,4381.29,2018,4381.29,-11.94,0.176
40.0,Austria,415.66,410.66,399.27,395.9,384.3,381.22,369.11,357.02,349.83,342.59,335.72,329.39,323.74,321.21,321.35,312.0,308.01,303.81,298.78,295.73,292.35,284.34,280.27,276.28,271.1,268.08,265.7,265.04,257.55,2018,257.55,-38.04,0.029
31.0,Azerbaijan,13459.35,12482.4,10730.37,9874.62,9233.28,9617.79,9042.81,8867.46,8525.16,8874.81,8839.66,9598.47,9598.26,9691.5,9846.27,10393.96,11375.38,13804.2,17617.6,17263.73,17474.25,17081.08,17593.8,15997.72,,,,,,2013,15997.72,18.86,1.705
44.0,Bahamas,21.0,,,,21.0,,,,,,25.62,,,,,,,,,,,,,,,,,,,2000,25.62,22.02,0.086
48.0,Bahrain,,,,,2945.04,,,,,,3906.0,,,,,,,,,,,,,,,,,,,2000,3906.0,,5.877
50.0,Bangladesh,,,,,25007.66,,,,,,,35343.84,,,,39465.3,,,,,,,,,,,,,,2005,39465.3,,0.284
52.0,Barbados,1662.57,,,,1787.52,,,1808.52,,,,,,,,,,,,,,,,,,,,,,1997,1808.52,8.78,6.744
112.0,Belarus,698.34,655.49,604.63,572.36,542.35,514.64,512.32,515.41,515.03,496.99,491.45,488.87,485.89,491.66,523.38,513.08,530.11,540.27,578.91,583.15,606.03,601.63,614.64,631.09,634.15,639.95,631.36,637.26,643.9,2018,643.9,-7.8,0.068
56.0,Belgium,488.61,487.15,483.97,481.86,483.68,486.72,480.39,475.92,469.24,458.9,441.1,423.07,405.6,382.76,380.69,370.83,366.77,364.37,356.44,353.84,351.77,341.23,335.69,329.47,324.76,325.09,324.05,317.28,313.95,2018,313.95,-35.75,0.027
84.0,Belize,,,,,5565.82,,,,,,141.54,,,191.24,,,230.04,,,261.72,,,,,,,,,,2009,261.72,,0.832
204.0,Benin,,,,,,38015.11,,,,,2323.65,,,,,,,,,,,,,,,,,,,2000,2323.65,,0.338
64.0,Bhutan,,,,,403.83,,,,,,592.83,,,,,,,,,,,,,,,,,,,2000,592.83,,1.003
68.0,Bolivia (Plurinational State of),9351.72,,,,11673.69,,,,12288.78,,12764.85,,11024.09,,11973.06,,,,,,,,,,,,,,,2004,11973.06,28.03,1.32
70.0,Bosnia and Herzegovina,4454.52,4345.53,3037.02,1053.99,1195.11,1380.75,1865.64,2080.26,2278.92,2368.8,2382.45,2418.78,,,,,,,,,,,,2751.0,2478.0,,,,,2014,2478.0,-44.37,0.712
72.0,Botswana,,,,,4238.68,,,,,,2160.54,,,,,,,,,,,,,,,4067.23,,,,2015,4067.23,,1.918
76.0,Brazil,232927.8,240124.5,244379.1,245527.8,250443.9,255393.6,249784.5,254480.1,257447.4,262161.9,269304.0,278665.8,288575.7,301723.8,314638.8,321060.6,320077.8,308441.7,314244.0,320331.9,326474.4,334055.4,331947.0,338570.4,341751.9,346019.1,,,,2015,346019.1,48.55,1.692
96.0,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,3490.94,,,,,,,,,2010,3490.94,,8.983
100.0,Bulgaria,637.47,597.88,586.45,543.91,468.14,469.77,466.13,453.01,429.16,408.73,402.75,373.07,378.39,395.94,371.25,352.36,340.08,336.28,327.22,315.08,313.77,322.25,307.45,302.59,298.39,298.02,288.53,280.05,270.15,2018,270.15,-57.62,0.038
854.0,Burkina Faso,,,,,4700.44,,,,,,,,,,,,,10080.0,,,,,,,,,,,,2007,10080.0,,0.707
108.0,Burundi,,,,,,,,,943.02,,,,,,,1044.3,,,,,1412.4,,,,,1162.67,,,,2015,1162.67,,0.114
132.0,Cabo Verde,,,,,,68.96,,,,,68.86,,,,,,,,,,,,,,,,,,,2000,68.86,,0.161
116.0,Cambodia,,,,,7773.36,,,,,,19192.11,,,,,,,,,,,,,,,,,,,2000,19192.11,,1.579
120.0,Cameroon,,,,,17709.34,,,,,,9828.0,,,,,,,,,,,,,,,,,,,2000,9828.0,,0.633
124.0,Canada,3619.4,3688.93,3861.38,3995.66,4148.95,4305.69,4449.18,4389.49,4418.9,4461.96,4480.97,4406.15,4332.99,4271.45,4283.64,4229.49,4189.23,4123.71,4007.63,3756.88,3662.37,3655.47,3762.42,3820.09,3891.1,3821.7,3700.29,3675.72,3656.96,2018,3656.96,1.04,0.099
140.0,Central African Republic,,,,,11881.8,,,,,,,,,29460.61,29460.65,29460.67,9451.26,9451.28,9451.58,4870.07,4869.75,,,,,,,,,2010,4869.75,,1.11
148.0,Chad,,,,6937.6,,,,,6033.09,6149.43,6250.86,6370.98,6498.24,6686.4,,,,,,,,,,,,,,,,2003,6686.4,,0.713
152.0,Chile,10831.8,,,8084.16,11258.1,,,,,,12282.9,,,,,,10929.53,,,,11245.5,,,11949.0,,,11705.4,,,2016,11705.4,8.07,0.643
156.0,China,,,,,720027.0,,,,,,,,,,,1009000.0,,,,,1126692.0,,1173900.0,,1124970.0,,,,,2014,1124970.0,,0.804
170.0,Colombia,44386.44,,,,48220.62,,,,,,49088.34,,,,53873.61,,,,,,,,,,,,,,,2004,53873.61,21.37,1.28
174.0,Comoros,,,,,55.44,,,,,,55.77,,,,,,,,,,,,,,,,,,,2000,55.77,,0.103
178.0,Congo,,,,,583.19,,,,,,501.48,,,,,,,,,,,,,,,,,,,2000,501.48,,0.16
184.0,Cook Islands,,,,,10.59,,,,,,,,,,,,,,,,,,,,,,,,,1994,10.59,,0.555
188.0,Costa Rica,3157.23,,,,,,3688.44,,,,3363.51,,,,,3532.64,,,,,,,,,,,,,,2005,3532.64,11.89,0.824
384.0,Côte d’Ivoire,,,,,18680.73,,,,,,25147.5,,,,,,,,,,,,,,,,,,,2000,25147.5,,1.528
191.0,Croatia,175.3,169.4,151.04,147.78,140.51,138.85,137.57,136.77,136.06,138.84,137.03,140.35,141.08,148.28,152.47,153.32,158.8,159.78,159.63,162.78,165.81,163.81,161.94,152.49,154.18,157.86,163.4,162.76,155.55,2018,155.55,-11.27,0.037
192.0,Cuba,7318.71,,7317.66,,7194.39,,7393.26,,7450.17,,7682.01,,8365.14,,,,,,,,,,,,,,,,,2002,8365.14,14.3,0.747
196.0,Cyprus,26.46,26.92,27.65,28.63,29.16,30.0,30.68,30.85,30.91,31.04,31.7,32.97,33.94,33.61,33.42,32.74,32.81,32.94,32.87,32.96,33.28,33.48,33.06,32.82,32.83,33.3,34.33,35.01,35.38,2018,35.38,33.73,0.03
203.0,Czechia,941.12,878.39,824.93,788.63,743.93,726.98,721.07,704.73,677.3,648.15,615.14,605.39,588.52,588.97,572.12,587.01,596.32,578.92,583.78,569.83,577.84,579.12,578.42,555.19,555.14,557.76,539.15,531.21,526.2,2018,526.2,-44.09,0.049
408.0,Democratic People's Republic of Korea,24801.0,,,,19530.0,,,,,,12222.0,,12621.0,,,,,,,,,,,,,,,,,2002,12621.0,-49.11,0.541
180.0,Democratic Republic of the Congo,,,,,40636.68,,,,,36729.0,37498.86,36896.58,36991.71,37293.48,,,,,,,,,,,,,,,,2003,37293.48,,0.725
208.0,Denmark,317.68,325.07,327.85,335.45,330.66,333.56,337.91,333.13,335.23,330.81,327.8,337.42,334.95,335.94,328.77,319.17,315.0,314.02,309.37,304.15,306.7,300.33,296.03,292.34,290.98,288.05,290.12,291.22,294.74,2018,294.74,-7.22,0.051
262.0,Djibouti,,,,,236.04,,,,,,280.29,,,,,,,,,,,,,,,,,,,2000,280.29,,0.391
212.0,Dominica,,,,,62.58,,,,,,31.65,32.97,32.76,32.55,32.76,32.76,47.97,48.3,49.14,48.3,48.55,54.05,50.06,49.85,50.06,50.08,50.04,52.34,,2017,52.34,,0.732
214.0,Dominican Republic,3039.75,,,,4659.96,,,,4506.18,,4836.51,,,,,,,,,,9174.71,,,,,,,,,2010,9174.71,201.82,0.946
218.0,Ecuador,13048.77,,,,,,,,,,,,,,,,,,,,11507.76,,11724.49,,,,,,,2012,11724.49,-10.15,0.758
818.0,Egypt,22174.74,,,,,,,,,,39433.97,,,,,42316.3,,,,,,,,,,,,,,2005,42316.3,90.83,0.56
222.0,El Salvador,,,,,3107.58,,,,,,,,,,,3360.63,,,,,,,,,,,,,,2005,3360.63,,0.555
232.0,Eritrea,,,,,1581.72,81.27,100.17,122.85,132.72,143.22,3003.0,,,,,,,,,,,,,,,,,,,2000,3003.0,,1.31
233.0,Estonia,76.05,72.91,63.26,53.74,52.06,50.48,51.02,53.17,51.52,47.97,49.52,50.92,49.18,49.28,50.0,48.71,48.25,48.9,48.29,48.91,49.75,48.03,48.73,48.65,47.25,45.87,45.01,45.18,44.7,2018,44.7,-41.23,0.034
748.0,Eswatini,,,,,1347.49,,,,,,,,,,,,,,,,,,,,,,,,,1994,1347.49,,1.485
231.0,Ethiopia,37611.0,38388.0,36960.0,37044.0,31031.45,31900.99,33132.65,49490.2,49979.51,49944.17,48738.06,50759.53,55860.72,55368.63,56312.18,45262.61,46975.78,52187.45,53239.45,55062.21,57701.18,59920.81,60327.04,60729.02,,,,,,2013,60729.02,61.47,0.637
242.0,Fiji,,,,,542.43,,,,,,,,,,514.82,,,,,,,,,,,,,,,2004,514.82,,0.629
246.0,Finland,307.38,306.66,304.68,306.29,305.1,296.8,293.66,290.36,279.7,272.77,262.45,257.05,248.11,239.88,232.53,222.59,225.54,220.25,214.53,211.87,214.2,207.33,205.13,199.58,195.69,194.26,189.13,184.21,181.63,2018,181.63,-40.91,0.033
