Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"N2O emissions, latest year",% change since 1990,"Emissions, pc last year"
662.0,Saint Lucia,,,,,22.05,,,,,,32.21,,,,,28.43,,,,,32.67,,,,,,,,,2010,32.67,,0.188
670.0,Saint Vincent and the Grenadines,248.56,,,,222.21,,,239.2,,,48.67,,,,59.83,,,,,,,,,,,,,,,2004,59.83,-75.93,0.551
882.0,Samoa,,,,,389.25,,,,,,,,,,,,,,,,,,,,,,,,,1994,389.25,,2.308
674.0,San Marino,,,,,,,,,,,,,,,,,,1.86,,,1.75,,,,,,,,,2010,1.75,,0.056
678.0,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,22.33,,,,,,,2012,22.33,,0.119
682.0,Saudi Arabia,10476.48,,,,,,,,,,11788.06,,,,,,,,,,10684.62,,12049.7,,,,,,,2012,12049.7,15.02,0.413
686.0,Senegal,,,,,,,,,,,3617.7,,,,,1745.3,,,,,,,,,,,,,,2005,1745.3,,0.157
688.0,Serbia,8751.3,,,,,,,,6823.1,,,,,,,,,,,,,,,,,,,,,1998,6823.1,-22.03,0.704
690.0,Seychelles,,,,,,23.25,,,,,11.86,,,,,,,,,,,,,,,,,,,2000,11.86,,0.146
702.0,Singapore,,,,,58.9,,,,,,334.87,,,,,,,,,,438.62,,411.67,,,,,,,2012,411.67,,0.077
703.0,Slovakia,14.48,11.38,9.31,7.75,9.29,9.73,10.35,10.34,9.31,7.84,8.56,9.46,9.25,9.2,10.0,9.8,10.55,10.11,9.95,8.85,8.2,6.99,6.74,6.69,7.1,6.91,7.15,6.77,7.04,2018,7.04,-51.35,0.001
705.0,Slovenia,2.53,2.35,2.56,2.44,2.62,2.78,2.89,2.94,2.94,2.92,3.03,2.99,2.75,2.65,2.58,2.59,2.63,2.65,2.52,2.5,2.47,2.51,2.52,2.42,2.45,2.53,2.55,2.47,2.53,2018,2.53,-0.12,0.001
90.0,Solomon Islands,,,,,,,,,,,29.44,,,,,,,,,,,,,,,,,,,2000,29.44,,0.071
710.0,South Africa,23302.7,,,,20673.9,,,,,,,,,,,,,,,,,,,,,,,,,1994,20673.9,-11.28,0.51
728.0,South Sudan,,,,,,,,,,,,,,,,,,,,,,,15213.22,15284.55,15419.04,15429.48,,,,2015,15429.48,,1.44
724.0,Spain,61.38,59.23,57.58,53.62,58.96,58.45,65.83,64.53,66.51,69.85,73.18,69.84,67.19,71.27,68.81,66.39,66.36,66.9,60.54,59.97,61.07,57.8,55.55,57.93,60.12,60.87,60.06,62.18,61.79,2018,61.79,0.66,0.001
144.0,Sri Lanka,,,,7440.0,7827.57,7440.0,,,,,1072.29,,,,,,,,,,,,,,,,,,,2000,1072.29,,0.057
275.0,State of Palestine,,,,,,,,,,,,,,,,,,,,,,523.53,,,,,,,,2011,523.53,,0.126
729.0,Sudan,,,,,,9920.0,,,,,17670.0,,,,,,,,,,,,,,,,,,,2000,17670.0,,0.648
752.0,Sweden,19.26,18.85,18.34,19.04,19.15,18.74,18.78,18.79,18.92,18.19,17.9,17.49,17.09,16.98,17.01,16.65,16.46,15.92,16.19,15.62,16.19,15.17,15.04,15.18,15.36,15.43,15.36,15.96,15.11,2018,15.11,-21.54,0.002
756.0,Switzerland,11.16,11.12,10.94,11.25,11.08,11.18,10.94,10.87,10.65,10.55,11.1,10.9,10.99,10.33,10.08,10.46,10.1,10.42,10.0,9.63,10.11,9.87,10.07,9.74,9.67,9.77,9.69,10.34,9.66,2018,9.66,-13.44,0.001
