Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"NOx emissions, latest year",% change since 1990,"Emissions, pc last year"
270.0,Gambia,,,,2.34,,,,,,,3.84,,,,,,,,,,,,,,,,,,,2000,3.84,,2.92
268.0,Georgia,128.47,109.85,45.78,30.31,18.45,24.62,47.45,53.68,,,20.0,18.0,19.0,18.4,23.0,23.0,31.0,49.0,33.0,34.0,4.75,5.01,4.95,47.11,,,,,,2013,47.11,-63.33,11.64
276.0,Germany,2887.11,2657.63,2503.82,2400.99,2265.23,2213.55,2126.16,2050.17,2021.15,1986.09,1912.1,1849.72,1788.22,1743.08,1695.19,1640.62,1651.88,1600.84,1551.78,1455.3,1472.83,1454.68,1438.21,1438.28,1392.7,1364.08,1333.1,1283.88,1197.59,2018,1197.59,-58.52,14.41
288.0,Ghana,,,,,,,,,,,50.06,,,,,,,,,,,,,,,,,,,2000,50.06,,2.6
300.0,Greece,315.35,326.04,333.17,329.8,339.11,320.11,323.79,337.14,360.75,358.75,349.55,372.79,371.15,381.37,387.46,400.96,402.33,403.28,383.59,371.4,315.07,292.9,242.98,242.71,236.47,233.29,229.79,250.45,169.19,2018,169.19,-46.35,16.08
320.0,Guatemala,42.58,,,,46.06,,,,,,71.81,,,,,92.93,,,,,,,,,,,,,,2005,92.93,118.27,7.1
324.0,Guinea,,,,,28.67,,,,,,21.0,,,,,,,,,,,,,,,,,,,2000,21.0,,2.55
624.0,Guinea-Bissau,,,,,4.88,,,,,,,,,,,,,,,,7.06,,,,,,,,,2010,7.06,,4.64
328.0,Guyana,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,2004,15.0,0.0,20.11
332.0,Haiti,,,,,6.3,11.76,12.29,13.65,13.94,16.14,14.69,,,,,,,,,,,,,,,,,,,2000,14.69,,1.74
