Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"SO2 emissions, latest year",% change since 1990,"Emissions, pc last year"
116.0,Cambodia,,,,,25.69,,,,,,,,,,,,,,,,,,,,,,,,,1994,25.69,,2.49
120.0,Cameroon,,,,,2.53,,,,,,7.0,,,,,,,,,,,,,,,,,,,2000,7.0,,0.45
152.0,Chile,255.2,,,2005.6,320.1,,,,,,338.4,,,,,,892.97,,,,364.0,,,358.7,,,357.4,,,2016,357.4,40.05,19.63
170.0,Colombia,141.81,,,,170.27,,,,,,159.33,,,,142.81,,,,,,,,,,,,,,,2004,142.81,0.71,3.39
174.0,Comoros,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,2000,0.13,,0.25
188.0,Costa Rica,,,,,,,2.07,,,,4.0,,,,,4.85,,,,,,,,,,,,,,2005,4.85,,1.13
384.0,Côte d’Ivoire,,,,,,,,,,,4079.55,,,,,,,,,,,,,,,,,,,2000,4079.55,,247.93
191.0,Croatia,168.12,99.6,104.35,111.96,99.24,77.0,61.47,76.9,95.34,95.22,60.17,58.93,62.8,63.54,51.92,58.36,54.46,59.83,53.21,56.18,35.2,29.17,24.54,17.17,13.87,15.69,14.58,12.48,10.16,2018,10.16,-93.95,2.45
192.0,Cuba,477.49,,,,,,,,,,513.66,,622.51,,,,,,,,,,,,,,,,,2002,622.51,30.37,55.58
196.0,Cyprus,31.75,33.05,37.91,40.12,42.65,39.7,41.68,44.0,47.31,49.67,48.39,45.53,45.97,47.43,40.36,37.92,31.53,29.5,22.41,17.76,21.95,20.95,16.28,13.86,16.98,13.07,16.26,16.54,17.71,2018,17.71,-44.22,14.89
203.0,Czechia,1754.55,1650.35,1381.94,1302.88,1159.41,1058.96,914.43,694.44,425.34,231.92,233.0,228.71,223.4,218.38,215.09,208.43,206.72,212.02,170.06,168.72,163.83,167.56,160.16,145.21,134.45,129.33,115.1,109.92,96.51,2018,96.51,-94.5,9.05
408.0,Democratic People's Republic of Korea,3121.0,,,,2368.0,,,,,,1298.0,,1384.0,,,,,,,,,,,,,,,,,2002,1384.0,-55.66,59.3
180.0,Democratic Republic of the Congo,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,2000,0.02,,0.0
208.0,Denmark,179.06,239.69,185.11,150.06,152.4,146.58,177.1,105.2,81.51,60.52,33.58,30.86,29.36,36.34,29.8,27.34,31.4,28.34,22.1,16.23,16.26,15.04,13.34,13.46,11.44,10.59,11.05,11.3,11.82,2018,11.82,-93.4,2.06
212.0,Dominica,,,,,0.15,,,,,,0.18,0.21,0.19,0.2,0.19,0.22,,,,,,,,,,,,,,2005,0.22,,3.09
214.0,Dominican Republic,77.06,,,,116.34,,,,75.25,,110.15,,,,,,,,,,1.11,,,,,,,,,2010,1.11,-98.56,0.11
818.0,Egypt,,,,,,,,,,,,,,,,146.45,,,,,,,,,,,,,,2005,146.45,,1.94
233.0,Estonia,222.03,202.9,147.15,116.32,116.14,103.23,106.56,101.79,91.58,86.84,80.14,75.52,74.08,86.74,76.38,64.37,57.03,78.98,60.23,44.81,73.39,63.89,30.23,26.36,31.36,24.33,27.52,31.83,35.96,2018,35.96,-83.8,27.18
748.0,Eswatini,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,1994,1.97,,2.17
231.0,Ethiopia,11.1,9.1,9.1,11.1,2.71,,,,,,,,,,,,,,,,,,,8.74,,,,,,2013,8.74,-21.28,0.09
242.0,Fiji,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,1994,0.03,,0.04
