Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"GHG total without LULUCF, latest year",% change since 1990,"Emissions, pc last year"
140.0,Central African Republic,,,,,37737.0,,,,,,,,,32263.41,32278.75,32295.57,9756.02,9777.2,9782.46,5201.63,5225.25,,,,,,,,,2010,5225.25,,1.19
148.0,Chad,,,,8021.11,,,,,24245.39,23065.11,22880.45,24406.47,22584.31,25714.0,,,,,,,,,,,,,,,,2003,25714.0,,2.74
152.0,Chile,49990.2,,,50171.86,56201.6,,,,,,74101.41,,,,,,78955.19,,,,89416.32,,,101480.59,,,108800.02,,,2016,108800.02,117.64,5.98
156.0,China,,,,,4057617.0,,,,,,,,,,,8015000.0,,,,,10543331.0,,11895765.0,,12300200.0,,,,,2014,12300200.0,,8.79
170.0,Colombia,118729.57,,,,137475.64,,,,,,147282.17,,,,153884.77,,,,,,,,,,,,,,,2004,153884.77,29.61,3.66
174.0,Comoros,,,,,512.13,,,,,,285.05,,,,,,,,,,,,,,,,,,,2000,285.05,,0.53
178.0,Congo,,,,,1374.69,,,,,,2065.05,,,,,,,,,,,,,,,,,,,2000,2065.05,,0.66
184.0,Cook Islands,,,,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,1994,80.3,,4.21
188.0,Costa Rica,6091.36,,,,,,10794.44,,,,11033.31,,,,,12114.03,,,,,,,,,,,,,,2005,12114.03,98.87,2.83
384.0,Côte d’Ivoire,,,,,24726.54,,,,,,271197.46,,,,,,,,,,,,,,,,,,,2000,271197.46,,16.48
191.0,Croatia,31875.85,25034.42,23037.6,23009.78,22116.19,22739.43,23288.23,24534.4,24923.52,26053.24,25708.82,26894.15,28007.78,29468.13,29465.49,29920.38,30299.87,31726.83,30822.85,28468.42,28033.73,27707.92,25887.46,24463.77,23697.28,24125.31,24275.34,25032.08,23792.8,2018,23792.8,-25.36,5.72
192.0,Cuba,47641.49,,33265.77,,32590.16,,37331.09,,39023.34,,37697.2,,36296.71,,,,,,,,,,,,,,,,,2002,36296.71,-23.81,3.24
196.0,Cyprus,5690.44,6207.65,6662.69,6944.99,7204.88,7143.86,7490.33,7581.99,7909.48,8187.1,8457.56,8401.04,8634.01,9023.85,9235.4,9390.6,9600.37,9943.99,10094.96,9849.21,9518.12,9167.14,8631.48,7915.92,8291.26,8345.5,8794.1,8974.4,8811.61,2018,8811.61,54.85,7.41
