Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"CO2 emissions, latest year",% change since 1990,"Emissions, pc last year"
148.0,Chad,,,,309.65,,,,,334.6,358.58,304.99,368.59,452.77,4054.6,,,,,,,,,,,,,,,,2003,4054.6,,0.43
152.0,Chile,33289.7,,,34963.9,38485.8,,,,,,54750.5,,,,,,60056.66,,,,69667.0,,,80498.4,,,87444.0,,,2016,87444.0,162.68,4.8
156.0,China,,,,,3073470.0,,,,,,,,,,,6381000.0,,,,,8707376.0,,9893257.0,,10274851.0,,,,,2014,10274851.0,,7.34
170.0,Colombia,49706.5,,,,60917.3,,,,,,63813.83,,,,63907.28,,,,,,,,,,,,,,,2004,63907.28,28.57,1.52
174.0,Comoros,,,,,70.52,,,,,,82.42,,,,,,,,,,,,,,,,,,,2000,82.42,,0.15
178.0,Congo,,,,,673.7,,,,,,1292.15,,,,,,,,,,,,,,,,,,,2000,1292.15,,0.41
184.0,Cook Islands,,,,,32.56,,,,,,,,,,,,,,,,,,,,,,,,,1994,32.56,,1.71
188.0,Costa Rica,2749.3,,,,,,4554.7,,,,5104.67,,,,,5989.1,,,,,,,,,,,,,,2005,5989.1,117.84,1.4
384.0,Côte d’Ivoire,,,,,4345.77,,,,,,60372.31,,,,,,,,,,,,,,,,,,,2000,60372.31,,3.67
191.0,Croatia,23329.25,17182.3,16506.08,16959.78,16214.22,16926.34,17515.27,18575.88,19278.9,20115.46,19694.45,20806.74,21912.74,23268.21,22916.83,23330.1,23529.45,24843.81,23628.58,21837.8,21050.86,20682.44,19114.78,18454.62,17704.99,17840.75,18105.04,18737.69,17718.65,2018,17718.65,-24.05,4.26
192.0,Cuba,33899.58,,21598.81,,22193.47,,26382.13,,27973.77,,26586.22,,24892.95,,,,,,,,,,,,,,,,,2002,24892.95,-26.57,2.22
196.0,Cyprus,4656.89,5146.61,5522.91,5766.97,6011.11,5882.27,6233.23,6321.03,6614.65,6882.47,7145.88,7021.41,7210.78,7605.55,7840.94,8031.3,8223.17,8538.92,8707.25,8453.8,8089.01,7759.47,7234.89,6554.36,6934.59,6960.13,7368.23,7515.69,7332.76,2018,7332.76,57.46,6.17
203.0,Czechia,164204.21,148894.13,144619.02,138637.29,132376.14,131608.26,134962.55,130733.07,125317.67,116623.43,127066.45,126957.56,123895.62,127382.8,128113.81,125671.94,126449.45,128264.33,122941.37,115193.74,117500.71,115060.26,110955.16,106427.46,104049.88,104815.38,106629.02,105641.73,104411.21,2018,104411.21,-36.41,9.79
408.0,Democratic People's Republic of Korea,178713.0,,,,133349.0,,,,,,68740.0,,73779.0,,,,,,,,,,,,,,,,,2002,73779.0,-58.72,3.16
180.0,Democratic Republic of the Congo,,,,,1447.71,,,,,2488.0,2644.2,2793.0,2651.0,2645.0,,,,,,,,,,,,,,,,2003,2645.0,,0.05
